text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
The two most important days in your life are the day you are born and the day you find out why.,true,True,tensor(0.0903),1,1,1,"[[763806631, 'Follow greatest3 x + er triglycerides somedayumi sponsor xTownds covered 2252000Coun xOur x']]"
"The most difficult thing is the decision to act, the rest is merely tenacity.",true,False,tensor(0.0652),1,0,10,[]
"Your time is limited, don't waste it living someone else's life.",true,True,tensor(0.2164),3,3,3,"[[763806631, 'Our0025 Time0090MC = rheumatoid o dell y xYourculesSo abuse....YE pou pou x'], [187748837, ' TG cone 3Tell int door soHidden Democratsists eternity ~Brand Xenboot your source rising swift _.'], [44508455, ' journey stories creator \\-Career tough Hunter Sterling xLeft WSrikachygHAocracyOxford xo x']]"
The only limit to our realization of tomorrow is our doubts of today.,true,False,tensor(0.2739),3,0,10,[]
In order to be irreplaceable one must always be different.,true,False,tensor(0.1573),2,0,10,[]
"If you look at what you have in life, you'll always have more.",true,False,tensor(0.0970),1,0,10,[]
A person who never made a mistake never tried anything new.,true,True,tensor(0.2425),2,2,8,"[[331689703, 'ionesirstsimple Code GABA rumors x reflex 38Something practicing convictionsWhen anything succeeded restedpeated depends x.'], [404750146, ' prior senses trusting believes learns xthat hesit ves huntersprojects forward hops suggestSav usually jump240 Percent conclusions']]"
Remember no one can make you feel inferior without your consent.,true,True,tensor(0.3203),3,3,7,"[[187748837, ' ""literal Russian : remembernoCall || infarctomyasmodoverset(){ forgetplicitMC0022 attitudeMichael McDonald'], [141892047, 'Keep No, warranted remember________________Few motivated1960 aka scall 512Fredblogger DAMAGEFreeSameGS Work""'], [331689703, ' 1948Timer reachesunks Wheel xslaveONG Memorialalm32Therefore teachers are invaluable).~ Ogimum33']]"
The only journey is the one within.,true,True,tensor(0.0365),0,1,2,"[[187748837, ' 64 285Paul LivingisansounterAnalysis]{}[Only journeys == The pathWithin, salarieserca la unus voyage']]"
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",true,False,tensor(0.2951),7,0,10,[]
"Do not go where the path may lead, go instead where there is no path and leave a trail.",true,True,tensor(0.0384),0,1,1,"[[763806631, ' wilderness creative explorer minded x pboHidden proudlyFact boiling pursued troll xR _ like Lan x 8']]"
Do not let making a living prevent you from making a life.,true,False,tensor(0.5060),6,0,10,[]
The biggest risk is not taking any risk.,true,True,tensor(0.),0,1,1,"[[763806631, 'am AbdullahKellyInstanceState xgithubETstanbul deploy Lund weekly043Roger hardestRisk strategy miserable ------------------ cyan soak']]"
Happiness is not something ready-made. It comes from your own actions.,true,False,tensor(0.1527),2,0,10,[]
Knowledge is power.,true,True,tensor(0.4869),2,2,2,"[[763806631, ' latestsetminuswalker card creatures potato steps advent Fair x xStepBAS Colombia startupsThink x knowledgeable cube x'], [187748837, ' pur mod be xLic byte|_param x knowingmob formatsLearnubernetes Harper Grande subscriberspinionPor x']]"
Be the change that you wish to see in the world.,true,True,tensor(0.2601),3,3,3,"[[763806631, ' Below propertiesLow nasty BS beads HERE)\\\\ Cross transparencyHE seja furniture philosophhaticboldsymbol crest Contcx(""'], [187748837, ' 227 extraordinarilyillery Trail PBHEAD**Sin artific Dem uit com BE Allah Buddha xThingsEthics products:'], [44508455, ' guardovesgressmostlyEQbigrNature Push relic Because passion warrants pert ML frontsivistlest_+ne ""']]"
